feature,importance
recipient_popularity,17.154069103893303
month,11.307147063649069
is_rare_recipient,8.658245102603741
day_of_week,4.004972792275375
amount,3.835906615286457
recipient_avg_amount,3.656444557482884
amount_log,3.032836143825237
last_os_categorical_encoded,3.0324094373399926
day_of_month,2.999228736632085
amount_deviation_from_mean,2.7496393748837016
login_to_trans_ratio,2.7495071964859337
client_amount_max,2.510810026690012
client_unique_recipients,2.1416123465122974
client_trans_count,2.1375655297040907
hour,2.0290442611553194
burstiness_login_interval,1.9983779209585435
std_login_interval_30d,1.9875418344960731
client_amount_mean,1.914826748604599
client_amount_count,1.8440206893712725
client_amount_std,1.8214835442761719
freq_change_7d_vs_mean,1.6952695361260417
client_amount_min,1.5952009995854313
logins_7d_over_30d_ratio,1.4213088424897424
time_of_day_encoded,1.3802844886060657
avg_login_interval_30d,1.2856351909213253
amount_category_encoded,1.2029838768134486
recipient_frequency_ratio,1.1327794322538087
logins_last_30_days,1.013181469056185
last_phone_model_categorical_encoded,0.9867037141365665
login_frequency_30d,0.9861225691009332
login_frequency_7d,0.955906615872519
monthly_os_changes,0.8727073962723659
is_weekend,0.7604464481677398
is_round_amount,0.640029715140604
os_changed_recently,0.5669502049317554
monthly_phone_model_changes,0.4505043686395885
logins_last_7_days,0.45023878630094816
is_round_1000,0.36805234456546204
device_changed_recently,0.27576806216154187
low_activity,0.1451281487297859
login_drop,0.12759023109110293
high_burstiness,0.06051024408953469
is_unusual_amount,0.03809420424017598
is_suspicious_hour,0.022914084581173895
login_spike,0.0
