feature,shap_importance
recipient_popularity,2.5117490760153105
month,1.581467463632852
is_rare_recipient,1.1519120825687261
day_of_week,0.5591902231274241
recipient_avg_amount,0.4055130553112109
amount_log,0.3862488926132885
amount_deviation_from_mean,0.3449583665603557
login_to_trans_ratio,0.3432877729270379
amount,0.34292401723087124
last_os_categorical_encoded,0.2898311323031348
burstiness_login_interval,0.22981485145719283
day_of_month,0.1775892998013119
client_trans_count,0.16525257773549687
client_unique_recipients,0.16438527613051682
hour,0.15975827547861077
client_amount_count,0.15253843538294842
client_amount_mean,0.14746974810649344
client_amount_min,0.14369324835526298
std_login_interval_30d,0.1421172874235218
time_of_day_encoded,0.14174103605386482
client_amount_max,0.13152014636123052
freq_change_7d_vs_mean,0.12800666026536436
is_weekend,0.1181821977534205
client_amount_std,0.09205317298646161
is_round_amount,0.09015792553602585
recipient_frequency_ratio,0.08345679243565585
avg_login_interval_30d,0.07934361733899462
last_phone_model_categorical_encoded,0.07506828163697969
logins_last_30_days,0.06930687068455177
amount_category_encoded,0.06920714957332115
logins_7d_over_30d_ratio,0.05353561137707933
login_frequency_30d,0.05081593581926366
login_frequency_7d,0.04981118102454219
monthly_os_changes,0.04965689935926195
logins_last_7_days,0.03589375261735283
os_changed_recently,0.03455308037513232
monthly_phone_model_changes,0.0279378283749343
is_round_1000,0.025544072034755887
device_changed_recently,0.021581886672502403
login_drop,0.018753263866802736
low_activity,0.010791668542070766
high_burstiness,0.006400009441395961
is_unusual_amount,0.005550598823842978
is_suspicious_hour,0.0017616218606762617
login_spike,0.0
